No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings
4442,NEOG,Neogen Corporation,Healthcare,Diagnostic Substances,USA,3.01B,59.07,51.04,4.43,7.83,5.84,17.13,76.41,-,0.00%,1.00,18.20%,14.15%,12.80%,13.33%,14.50%,50.60%,12.20%,50.76M,49.85M,0.30%,-60.78%,90.40%,2.78%,2.29%,7.85,9.60%,10.70%,9.00%,9.00,7.00,0.00,0.00,47.60%,17.60%,13.50%,0.99%,-3.90%,-1.64%,20.66%,23.99%,-3.81%,1.48,1.45,1.65%,2.65%,-0.83%,-2.36%,10.11%,-7.93%,4.79%,-7.93%,32.89%,45.91,0.05%,0.46%,3.00,145.46K,1.05,59.31,0.51%,"152,331",Jan 03/b
4443,NEON,Neonode Inc.,Technology,Diversified Electronics,Sweden,35.47M,-,-,-,3.62,3.35,5.14,-,-,-,-0.07,39.00%,75.00%,29.00%,25.00%,11.00%,56.80%,43.70%,52.94M,45.06M,23.10%,1.08%,14.60%,-0.13%,2.88%,6.41,-30.60%,-62.60%,-96.70%,3.10,2.60,0.17,0.22,90.10%,-40.10%,-34.70%,2.92%,-19.28%,-43.70%,-41.74%,-61.49%,-9.84%,0.97,0.06,10.36%,9.41%,-11.30%,-20.08%,-41.02%,-39.09%,10.74%,-63.98%,10.74%,39.63,-1.03%,2.58%,2.50,202.48K,0.53,0.67,1.52%,"106,379",Feb 08/b
4444,NEOS,"Neos Therapeutics, Inc.",Healthcare,Drugs - Generic,USA,310.58M,-,-,-,15.00,20.94,4.67,-,-,-,-3.42,-150.70%,46.00%,-,66.10%,-,63.70%,318.80%,27.98M,24.62M,0.50%,0.00%,56.60%,2.54%,10.46%,3.92,-68.60%,-551.30%,-125.20%,2.40,2.10,4.01,4.48,33.70%,-,-,-0.89%,14.43%,50.00%,62.04%,88.14%,8.82%,-,0.47,5.30%,4.30%,6.23%,9.40%,31.46%,-5.05%,25.42%,-15.59%,128.87%,62.05,0.45%,0.00%,2.00,657.47K,0.44,11.10,0.45%,"287,062",Feb 07/b
4445,NEOT,"Neothetics, Inc.",Healthcare,Biotechnology,USA,159.50M,-,-,-,-,32.81,-,-,-,-,-0.69,-,-,-,30.40%,-,-,-,13.85M,6.41M,23.24%,0.00%,35.83%,-,5.53%,2.07,-,-,-,-,-,-,-,-,-,-,-2.08%,17.75%,269.52%,285.79%,62.65%,-1.57%,-,0.77,5.14%,6.79%,1.22%,21.93%,53.27%,-10.73%,79.37%,-27.02%,539.77%,60.08,0.00%,0.00%,3.00,171.20K,0.07,11.52,0.00%,0,Feb 07/b
4446,NEP,"NextEra Energy Partners, LP",Utilities,Diversified Utilities,USA,2.27B,33.32,22.41,2.69,3.07,1.33,16.79,8.52,3.76%,114.90%,1.25,326.80%,75.26%,-,12.40%,-,-97.00%,-7.30%,54.30M,53.99M,0.48%,0.00%,87.80%,0.50%,1.37%,2.72,0.90%,3.90%,7.90%,3.20,3.20,2.48,2.55,-,48.60%,9.20%,4.43%,0.70%,1.11%,7.49%,48.00%,-3.15%,1.06,1.08,2.39%,2.70%,1.17%,3.66%,8.55%,-5.62%,13.24%,-5.62%,51.98%,56.24,-0.60%,0.33%,2.10,271.24K,0.77,41.75,-0.26%,"207,802",Jan 26/b
4447,NEPT,Neptune Technologies & Bioressources Inc.,Healthcare,Biotechnology,Canada,263.46M,51.21,-,-,7.58,3.93,-,-,-,-,0.07,-,60.00%,-,-,-,-,-,77.95M,53.95M,24.30%,0.00%,13.44%,-,0.55%,0.38,-,-,-,-,-,-,-,-,-,-,11.92%,68.16%,288.51%,300.47%,212.96%,43.22%,-,0.25,7.98%,9.71%,22.20%,67.78%,183.01%,-4.25%,259.54%,-4.25%,382.86%,70.28,-3.43%,0.57%,2.00,780.38K,1.19,3.38,-2.87%,"930,664",-
4448,NERV,"Minerva Neurosciences, Inc.",Healthcare,Biotechnology,USA,253.50M,-,-,-,-,2.14,1.91,81.78,-,-,-1.11,14.80%,-16.10%,-,-,-,-13.80%,-,37.28M,37.21M,0.70%,-4.60%,93.00%,-0.01%,4.51%,7.57,-27.90%,-37.30%,-,15.40,15.40,0.00,0.04,-,-,-,3.82%,8.80%,-6.21%,-11.11%,-33.98%,12.40%,1.50,0.47,8.57%,7.50%,9.90%,17.38%,-3.84%,-6.21%,41.64%,-39.01%,41.64%,62.53,0.00%,3.03%,1.30,221.71K,0.79,6.80,3.03%,"176,179",Feb 05/b
4449,NES,"Nuverra Environmental Solutions, Inc.",Industrial Goods,Waste Management,USA,229.94M,-,-,-,1.39,0.84,-,-,-,-,-1.81,-,-,-,-,-,-,37.90%,11.70M,-,-,-,1.38%,-,-,0.00,-,-,-,-,-,-,-,-,-,-,-2.19%,4.85%,78.73%,-,-,8.14%,-,1.60,7.01%,9.52%,-2.66%,24.43%,34.34%,-25.10%,112.54%,-25.10%,112.54%,59.03,-3.39%,2.31%,-,21.47K,0.72,19.66,-1.16%,"15,398",-
4450,NETE,"Net Element, Inc.",Technology,Internet Software & Services,USA,28.72M,-,-,-,0.48,7.76,31.91,-,-,-,-5.19,55.50%,-,40.40%,-,212.20%,63.60%,6.40%,3.49M,2.71M,15.30%,0.00%,12.60%,395.54%,12.37%,0.30,-39.10%,-302.10%,-105.20%,0.60,0.60,3.45,3.70,15.40%,-12.50%,-14.40%,-7.01%,-56.11%,53.54%,80.88%,-8.56%,-26.06%,1.14,2.17,7.08%,13.35%,-25.88%,7.51%,29.28%,-75.44%,135.14%,-75.44%,221.99%,43.91,-6.05%,3.67%,2.00,1.11M,0.16,8.23,-2.60%,"172,565",Feb 13
4451,NEU,NewMarket Corporation,Basic Materials,Specialty Chemicals,USA,4.70B,20.37,18.27,4.85,2.20,7.51,44.80,165.64,1.75%,35.00%,19.59,5.60%,12.93%,6.50%,4.20%,-0.80%,-16.40%,6.30%,11.79M,9.25M,0.80%,0.00%,60.00%,0.06%,2.94%,7.49,14.70%,41.60%,26.50%,2.70,1.50,0.97,0.97,30.10%,15.60%,10.80%,0.01%,1.41%,-6.74%,-14.63%,-8.94%,0.41%,0.83,6.21,1.25%,1.53%,0.28%,1.00%,-7.51%,-2.44%,5.76%,-17.54%,5.76%,53.57,0.02%,0.34%,3.00,36.30K,0.52,399.00,0.36%,"18,814",Feb 06/a
4452,NEWA,"Newater Technology, Inc.",Industrial Goods,Waste Management,China,117.96M,56.58,-,-,8.02,9.65,73.72,-,-,-,0.20,157.40%,-,-,-,-,113.00%,50.60%,10.32M,5.60M,50.01%,0.00%,0.50%,-,1.36%,0.40,-,-,6.20%,1.70,0.70,0.00,0.27,30.90%,-,-,-4.67%,29.74%,16.99%,-,-,21.73%,-,1.72,10.75%,14.14%,4.79%,5.09%,11.64%,-45.57%,45.42%,-45.57%,56.15%,51.89,7.53%,2.21%,-,189.18K,0.19,11.43,9.90%,"36,628",-
4453,NEWM,New Media Investment Group Inc.,Services,Publishing - Newspapers,USA,889.93M,-,22.61,-,0.69,1.34,5.54,29.57,8.76%,-,-0.21,-54.30%,475.00%,24.60%,-,19.50%,-159.60%,3.40%,52.69M,52.07M,0.70%,5.73%,80.50%,0.17%,5.10%,10.76,-1.00%,-1.80%,5.70%,1.80,1.70,0.53,0.54,-,1.90%,-1.00%,-0.65%,-0.76%,8.69%,23.19%,10.90%,0.66%,1.26,0.30,1.79%,1.69%,0.41%,0.34%,15.44%,-4.14%,10.10%,-4.14%,42.29%,49.79,-1.86%,0.06%,3.00,246.91K,0.88,16.89,-1.80%,"218,471",Feb 20/b
4454,NEWR,"New Relic, Inc.",Technology,Business Software & Services,USA,3.26B,-,263.76,-,10.64,16.60,14.33,116.83,-,-,-1.11,15.30%,204.50%,-48.50%,25.00%,86.50%,2.40%,33.60%,54.68M,42.24M,0.70%,-48.37%,87.00%,-0.56%,3.66%,3.37,-17.20%,-31.20%,-33.00%,1.80,1.80,0.00,0.00,81.30%,-19.70%,-19.40%,2.90%,2.97%,16.63%,23.67%,79.01%,3.19%,-,1.42,2.14%,2.27%,1.89%,3.41%,22.21%,-2.23%,15.59%,-2.23%,82.63%,55.31,-1.14%,0.35%,2.10,458.87K,0.56,59.61,-0.80%,"255,229",Feb 06/a
4455,NEWT,Newtek Business Services Corp.,Services,Business Services,USA,323.78M,-,9.55,-,8.30,1.22,83.02,-,9.89%,-,0.00,0.00%,4.55%,-14.90%,3.00%,-20.30%,0.00%,-12.50%,18.19M,16.18M,6.20%,1.09%,22.30%,0.02%,3.95%,3.48,0.00%,0.00%,2.20%,-,-,0.82,0.00,-,22.50%,0.00%,-1.77%,-3.63%,2.53%,4.03%,9.54%,-3.73%,1.28,0.31,1.29%,1.74%,-1.94%,-1.18%,3.13%,-8.25%,6.46%,-8.25%,17.49%,43.34,-0.28%,0.45%,2.30,183.76K,0.54,17.80,0.17%,"98,557",Jan 31/a
4456,NFBK,"Northfield Bancorp, Inc. (Staten Island, NY)",Financial,Regional - Northeast Banks,USA,816.48M,22.81,22.42,2.28,6.26,1.20,5.74,25.12,2.36%,41.60%,0.74,27.20%,3.85%,22.10%,10.00%,6.50%,9.10%,6.30%,48.17M,42.72M,1.60%,-0.39%,54.30%,-0.26%,1.76%,7.91,0.90%,5.50%,14.30%,-,-,0.90,0.90,-,81.30%,26.60%,-0.29%,-3.69%,-2.08%,-0.47%,-7.28%,-0.76%,0.29,0.38,2.24%,2.02%,-0.85%,-1.20%,-0.46%,-7.81%,6.20%,-11.93%,10.39%,46.14,-0.70%,0.29%,3.00,95.06K,1.03,16.95,-0.41%,"97,808",Jan 24/a
4457,NFEC,NF Energy Saving Corporation,Industrial Goods,Industrial Equipment & Components,China,8.01M,-,-,-,1.27,0.31,-,-,-,-,-0.25,-78.60%,-,-22.30%,-,-16.60%,-2.10%,-21.40%,6.85M,2.87M,52.30%,0.00%,0.40%,-,1.88%,0.52,-4.50%,-6.40%,-4.60%,1.40,1.00,0.00,0.22,13.50%,-22.90%,-27.50%,-3.31%,19.39%,23.63%,33.26%,2.63%,20.62%,-0.55,0.11,5.82%,11.20%,2.96%,9.07%,21.39%,-21.48%,29.60%,-21.48%,53.95%,52.65,-0.85%,0.00%,-,103.28K,0.15,1.17,-0.85%,"15,723",Feb 13
4458,NFG,National Fuel Gas Company,Basic Materials,Independent Oil & Gas,USA,4.82B,17.11,17.44,2.01,3.05,2.83,8.67,50.74,2.94%,49.10%,3.30,196.10%,6.84%,4.60%,8.50%,-0.60%,19.70%,-1.90%,85.35M,83.72M,1.30%,0.00%,75.50%,0.19%,5.60%,12.89,4.80%,17.20%,9.60%,1.30,1.20,1.22,1.40,82.60%,35.00%,17.90%,0.46%,3.13%,-1.86%,-5.13%,-2.05%,2.75%,0.91,0.87,1.44%,1.44%,1.25%,-0.44%,-0.97%,-5.81%,4.21%,-7.89%,6.39%,53.30,-0.39%,0.34%,2.40,363.96K,0.87,56.42,-0.05%,"315,455",Feb 01/a
4459,NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",Financial,Closed-End Fund - Equity,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00%,-,-,-,-,-,-,-,-,-,-,-,0.11,-,-,-,-,-,-,-,-,-,-,1.49%,1.71%,1.34%,1.71%,4.92%,4.67%,-,0.10,0.51%,0.68%,2.85%,2.46%,3.08%,0.00%,5.89%,0.00%,7.73%,69.58,0.07%,0.22%,1.00,306.09K,2.07,13.66,0.29%,"632,250",-
4460,NFLT,Virtus Newfleet Multi-Sect Uncons Bd ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,4.45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.04,-,-,-,-,-,-,-,-,-,-,-0.39%,0.25%,-0.59%,-0.40%,0.58%,-0.27%,-,0.08,0.28%,0.32%,-0.20%,-0.23%,-0.31%,-0.78%,0.49%,-1.32%,1.66%,43.95,0.09%,-0.12%,-,31.20K,0.48,25.16,-0.03%,"15,058",-
4461,NFLX,"Netflix, Inc.",Services,CATV Systems,USA,113.01B,264.47,113.81,-,10.38,33.94,64.70,-,-,0.00%,0.99,51.50%,83.97%,-6.50%,-,22.50%,146.50%,30.30%,432.48M,424.92M,1.80%,-8.78%,85.60%,0.24%,5.15%,3.27,2.90%,14.60%,5.00%,1.20,1.20,1.47,1.47,33.80%,6.90%,4.00%,20.14%,38.53%,35.76%,39.76%,86.50%,36.12%,0.78,7.32,3.20%,2.62%,24.42%,31.72%,47.29%,1.39%,46.49%,1.39%,90.69%,87.37,4.15%,0.24%,2.20,6.71M,2.56,261.30,4.40%,"17,188,643",Jan 22/a
4462,NFO,Guggenheim Insider Sentiment ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,1.47%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03,-,-,-,-,-,-,-,-,-,-,1.24%,2.97%,6.43%,12.78%,28.57%,4.22%,-,0.35,0.47%,0.40%,2.56%,3.44%,10.97%,0.28%,7.01%,0.28%,29.36%,72.61,-0.28%,0.64%,-,2.74K,1.53,64.59,0.36%,"4,197",-
4463,NFRA,FlexShares STOXX Global Broad Infras ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,2.77%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.08%,2.66%,3.68%,5.08%,11.86%,2.17%,-,0.25,0.40%,0.40%,1.54%,2.34%,4.24%,0.20%,5.13%,0.20%,13.38%,68.84,-0.26%,0.62%,-,36.09K,0.44,49.81,0.36%,"15,925",-
4464,NFX,Newfield Exploration Company,Basic Materials,Independent Oil & Gas,USA,6.90B,19.79,12.08,0.57,4.12,5.22,16.12,7.97,-,0.00%,1.73,69.90%,33.07%,-32.90%,34.93%,-3.30%,81.30%,12.00%,202.13M,198.15M,0.60%,-4.75%,-,0.03%,3.59%,2.83,7.70%,30.40%,-27.90%,1.20,1.10,1.87,1.87,83.30%,26.50%,20.60%,-0.58%,10.06%,19.67%,22.59%,-19.54%,8.25%,1.44,0.92,1.97%,2.58%,2.04%,8.33%,13.02%,-3.04%,22.90%,-21.97%,39.82%,58.28,0.32%,0.47%,2.10,2.52M,0.91,34.13,0.80%,"2,290,319",Feb 20/a
4465,NG,NovaGold Resources Inc.,Basic Materials,Gold,Canada,1.40B,-,-,-,-,4.74,15.80,-,-,-,-0.11,-5.30%,40.00%,-18.10%,-,-,-40.10%,-,316.98M,233.12M,23.80%,-0.54%,48.30%,5.69%,5.49%,9.24,-9.00%,-12.30%,-,32.80,32.80,0.30,0.30,-,-,-,11.08%,8.62%,6.78%,1.85%,-14.53%,12.21%,0.13,0.15,4.62%,3.36%,11.90%,13.81%,5.87%,4.26%,31.64%,-28.99%,31.64%,71.33,8.89%,1.25%,2.00,1.38M,3.29,4.41,10.25%,"4,553,002",Jan 24/a
4466,NGD,New Gold Inc.,Basic Materials,Gold,Canada,1.95B,34.95,27.34,-,3.36,0.84,9.43,-,-,0.00%,0.10,101.30%,138.46%,-57.90%,-,-0.40%,558.50%,23.70%,575.98M,563.27M,3.60%,0.00%,55.10%,-2.86%,0.92%,1.14,3.00%,5.60%,0.50%,2.30,1.40,0.42,0.42,72.80%,18.80%,21.50%,5.94%,3.04%,-6.61%,12.25%,-17.52%,3.04%,0.14,0.14,4.26%,4.15%,3.13%,5.94%,3.50%,-4.78%,15.70%,-23.13%,41.84%,56.28,0.30%,2.42%,2.70,4.55M,1.76,3.39,2.73%,"8,015,755",Feb 14/a
4467,NGE,Global X MSCI Nigeria ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,2.04%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.20,-,-,-,-,-,-,-,-,-,-,-6.82%,13.42%,19.43%,26.36%,49.64%,15.25%,-,0.69,3.34%,2.67%,4.46%,11.11%,24.81%,-7.68%,21.69%,-7.68%,70.78%,59.34,-1.88%,-0.97%,-,33.22K,2.02,25.02,-2.83%,"66,938",-
4468,NGG,National Grid plc,Utilities,Gas Utilities,United Kingdom,39.02B,17.44,13.62,2.77,1.82,1.74,10.75,138.40,5.05%,12.60%,3.31,-4.50%,6.54%,-1.40%,6.30%,1.70%,-35.80%,-2.50%,676.42M,668.82M,3.50%,0.00%,6.00%,-0.34%,0.17%,1.74,13.00%,50.30%,5.80%,0.80,0.70,1.32,1.55,-,19.50%,51.60%,-1.10%,-0.47%,-7.79%,-6.67%,-1.95%,-1.92%,0.52,0.71,1.03%,0.91%,-0.62%,-1.74%,-8.11%,-4.96%,1.85%,-18.48%,1.85%,45.90,-1.35%,1.21%,1.00,638.95K,1.11,57.68,-0.16%,"709,994",-
4469,NGHC,National General Holdings Corp.,Financial,Property & Casualty Insurance,USA,2.18B,21.09,9.48,1.41,0.51,1.42,6.59,12.83,0.78%,16.10%,0.97,7.30%,138.66%,15.00%,15.00%,42.60%,131.60%,17.00%,106.15M,60.76M,0.20%,30.41%,49.10%,0.14%,1.13%,2.87,1.40%,7.00%,9.00%,-,-,0.49,0.00,-,5.30%,2.50%,1.28%,3.37%,0.49%,-4.82%,-17.18%,4.58%,1.30,0.43,1.85%,2.12%,2.81%,0.66%,0.46%,-8.22%,6.92%,-23.90%,26.71%,56.34,-1.68%,0.43%,2.00,239.54K,0.89,20.54,-1.25%,"212,441",Feb 26/a
4470,NGL,NGL Energy Partners LP,Basic Materials,Oil & Gas Refining & Marketing,USA,2.06B,-,-,-,0.14,1.14,111.76,-,9.10%,-,-2.10,140.60%,100.00%,13.00%,1.00%,58.30%,-120.30%,28.80%,119.91M,113.55M,1.00%,7.63%,63.20%,-0.55%,4.08%,3.82,-4.10%,-12.60%,5.00%,1.60,1.00,1.65,1.67,3.10%,-0.40%,-1.70%,7.52%,19.93%,55.20%,35.57%,-30.71%,22.06%,0.68,0.59,3.74%,3.73%,11.26%,23.47%,30.31%,-0.87%,48.48%,-33.53%,100.00%,73.46,-0.29%,0.00%,2.30,1.21M,0.63,17.15,-0.29%,"765,998",Feb 06/b
4471,NGS,"Natural Gas Services Group, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,370.08M,161.58,61.90,13.47,5.47,1.55,5.08,31.36,-,0.00%,0.18,-36.90%,239.71%,-8.90%,12.00%,1.90%,-65.80%,-1.90%,12.94M,12.41M,3.50%,-10.06%,93.80%,-0.07%,0.54%,2.67,0.80%,1.00%,2.80%,18.70,14.00,0.00,0.00,50.50%,3.40%,3.40%,-1.38%,9.37%,3.62%,13.94%,-4.51%,9.16%,1.28,0.68,1.65%,2.39%,3.30%,8.59%,9.43%,-1.89%,18.43%,-8.63%,27.68%,64.71,-1.38%,0.69%,1.80,24.86K,1.48,28.60,-0.69%,"36,880",Feb 01/b
4472,NGVC,"Natural Grocers by Vitamin Cottage, Inc.",Services,Grocery Stores,USA,185.80M,27.46,32.80,-,0.24,1.41,28.58,-,-,0.00%,0.31,-39.80%,0.78%,0.70%,-5.20%,18.00%,-15.50%,9.70%,22.04M,11.88M,20.10%,-1.79%,26.90%,0.51%,15.44%,11.01,2.30%,5.20%,5.50%,1.50,0.20,0.46,0.46,27.60%,1.80%,0.90%,-0.24%,-5.60%,61.49%,2.93%,-37.04%,-5.60%,0.99,0.31,2.90%,3.38%,-2.15%,6.76%,9.31%,-9.06%,74.53%,-38.87%,76.03%,51.67,-1.86%,0.59%,2.70,166.72K,0.81,8.43,-1.29%,"135,174",Feb 15/a
4473,NGVT,Ingevity Corporation,Basic Materials,Specialty Chemicals,USA,3.15B,33.36,24.81,2.67,3.33,14.20,44.94,24.03,-,0.00%,2.24,-56.30%,20.87%,-,12.50%,2.30%,564.50%,4.60%,42.14M,41.99M,0.20%,0.00%,94.40%,0.35%,0.41%,0.72,11.00%,55.70%,8.20%,2.40,1.30,2.02,2.04,32.90%,16.90%,10.10%,0.32%,3.67%,7.26%,28.43%,37.79%,6.23%,-,1.73,2.22%,2.16%,2.29%,0.96%,16.42%,-6.64%,6.76%,-6.64%,41.81%,53.73,-1.21%,0.11%,1.90,241.35K,0.56,74.86,-1.11%,"135,893",Feb 21/a
4474,NH,"NantHealth, Inc.",Technology,Healthcare Information Services,USA,386.17M,-,-,-,4.36,2.03,-,-,-,-,-1.46,-184.00%,44.90%,-,-,-,8.80%,5.30%,105.51M,25.83M,0.20%,-17.56%,23.80%,-0.04%,12.15%,19.39,-33.00%,-60.40%,-22.80%,2.40,2.40,0.98,0.00,40.70%,-94.10%,-,-3.94%,12.96%,-6.87%,-13.27%,-61.68%,20.00%,-,0.21,5.09%,6.04%,3.06%,9.19%,-0.42%,-9.63%,25.77%,-62.88%,40.77%,53.85,-5.18%,0.00%,1.30,161.82K,0.73,3.66,-5.18%,"118,846",Feb 08/a
4475,NHC,National HealthCare Corporation,Healthcare,Long-Term Care Facilities,USA,947.59M,19.60,-,-,0.99,1.38,4.44,28.89,3.07%,57.10%,3.20,4.00%,-,-3.40%,-,3.70%,2.20%,4.60%,15.13M,9.57M,1.50%,-2.30%,38.30%,0.07%,0.39%,1.31,4.40%,7.10%,3.80%,2.30,2.20,0.21,0.21,40.60%,5.80%,5.10%,-2.42%,0.84%,-3.45%,-6.65%,-18.18%,2.77%,0.43,1.54,1.97%,2.30%,-0.09%,-1.33%,-5.41%,-7.98%,3.18%,-18.66%,8.49%,46.59,-1.56%,0.35%,-,28.84K,1.06,62.63,-1.21%,"30,654",Feb 14/a
4476,NHF,NexPoint Credit Strategies Fund,Financial,Closed-End Fund - Debt,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00%,-,0.46,-,-,-,-,-,-,-,-,-,-,-0.92%,0.28%,5.91%,12.47%,7.10%,-1.58%,-,0.28,0.99%,1.08%,-0.98%,2.04%,8.32%,-2.93%,10.04%,-2.93%,16.85%,50.72,-0.04%,0.16%,-,125.18K,0.35,24.89,0.12%,"43,445",-
4477,NHI,"National Health Investors, Inc.",Financial,REIT - Healthcare Facilities,USA,2.97B,17.81,19.19,1.78,10.89,2.21,760.90,-,5.33%,91.90%,4.00,-2.10%,-4.01%,9.00%,10.00%,24.30%,13.20%,12.80%,41.62M,39.91M,0.20%,-1.74%,73.90%,0.41%,3.47%,6.28,6.50%,12.70%,5.10%,-,-,0.84,0.84,-,53.70%,59.70%,0.37%,-6.50%,-7.95%,-7.73%,-5.60%,-5.41%,0.46,1.26,1.69%,1.64%,-2.49%,-6.37%,-7.23%,-12.62%,2.58%,-12.62%,3.39%,38.72,-1.31%,0.00%,2.80,220.62K,0.73,71.30,-1.31%,"162,013",Feb 16/b
4478,NHLD,National Holdings Corporation,Financial,Investment Brokerage - Regional,USA,46.39M,3.71,-,-,0.24,1.19,1.52,14.50,-,0.00%,1.01,324.70%,-,26.50%,-,9.90%,167.60%,-1.50%,12.44M,11.43M,3.20%,0.00%,31.40%,-,0.64%,0.51,20.10%,35.90%,10.40%,1.80,1.80,0.00,0.00,14.60%,4.30%,6.60%,6.27%,53.50%,60.09%,31.34%,35.14%,13.03%,0.44,0.46,9.28%,14.16%,8.46%,28.22%,36.35%,-40.41%,62.17%,-40.41%,79.50%,55.63,1.66%,0.25%,-,143.37K,0.26,3.73,1.91%,"36,905",Jan 04/b
4479,NHS,Neuberger Berman High Yield Strategies Fund Inc.,Financial,Asset Management,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00%,-,-,-,-,-,-,-,-,-,3.19%,-,0.38,-,-,-,-,-,-,-,-,-,-,-0.60%,-1.45%,-4.14%,-3.02%,-2.69%,-1.53%,-,0.10,0.66%,0.76%,-1.12%,-1.06%,-2.80%,-3.50%,2.57%,-6.23%,2.57%,40.83,-0.17%,0.00%,-,54.04K,3.39,11.58,-0.17%,"183,463",-
4480,NHTC,Natural Health Trends Corp.,Consumer Goods,Personal Products,USA,186.27M,3.88,-,-,0.87,1.87,1.47,5.88,2.96%,9.10%,4.19,26.50%,-,87.00%,-,56.00%,-41.80%,-43.30%,11.47M,7.27M,35.89%,0.00%,33.10%,0.85%,27.75%,16.38,31.10%,51.80%,66.90%,3.30,3.10,0.00,0.00,80.70%,25.40%,22.00%,12.04%,4.71%,-14.16%,-34.86%,-33.22%,6.91%,1.77,1.07,4.60%,6.94%,4.92%,-2.53%,-27.41%,-18.60%,14.77%,-45.18%,14.77%,52.11,1.06%,0.06%,-,123.21K,0.59,16.24,1.12%,"72,596",Feb 07/b
4481,NI,NiSource Inc.,Utilities,Diversified Utilities,USA,8.16B,29.17,18.86,3.79,1.70,1.83,422.66,17.43,2.89%,82.80%,0.83,76.00%,7.55%,-1.10%,7.70%,-4.80%,-42.40%,6.50%,337.36M,335.66M,0.10%,0.33%,84.70%,0.21%,2.13%,2.52,1.40%,6.40%,5.60%,0.50,0.30,1.72,1.98,68.70%,15.70%,5.60%,0.12%,-1.95%,-9.84%,-7.07%,8.67%,-5.80%,0.19,0.38,1.23%,1.50%,-2.01%,-6.88%,-6.49%,-12.90%,1.72%,-12.90%,11.69%,34.91,0.62%,-0.58%,2.20,2.83M,1.28,24.18,0.04%,"3,621,131",Feb 21/b
4482,NIB,iPath Bloomberg Cocoa SubTR ETN,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.05,-,-,-,-,-,-,-,-,-,-,-2.43%,3.09%,-7.67%,2.82%,-14.83%,3.91%,-,0.58,1.90%,2.39%,2.43%,-1.29%,-0.66%,-13.35%,9.16%,-14.83%,12.05%,50.79,0.81%,0.38%,-,114.35K,0.42,23.72,1.19%,"47,472",-
4483,NICE,NICE Ltd.,Technology,Computer Peripherals,Israel,5.63B,60.50,20.51,5.53,4.45,3.36,15.02,18.70,0.70%,21.40%,1.52,-12.10%,10.48%,17.70%,10.95%,5.00%,-20.80%,36.10%,61.23M,60.64M,-,-,48.10%,1.39%,1.17%,4.71,3.30%,5.70%,5.70%,1.30,1.30,0.27,0.00,64.60%,9.80%,7.10%,-0.79%,2.89%,12.80%,21.58%,33.34%,-0.01%,0.83,1.51,1.93%,1.50%,-0.42%,3.13%,14.55%,-3.92%,11.22%,-3.92%,39.84%,53.14,-0.70%,0.19%,2.30,150.17K,1.72,91.90,-0.51%,"258,432",Feb 15/b
4484,NICK,"Nicholas Financial, Inc.",Financial,Credit Services,USA,112.21M,43.16,-,8.63,1.27,0.63,30.33,4.23,-,0.00%,0.21,-56.50%,-,-17.80%,5.00%,2.40%,-82.70%,-5.80%,12.44M,11.92M,1.40%,0.00%,34.40%,-0.05%,0.47%,5.96,0.50%,1.50%,1.70%,-,-,1.70,1.72,-,3.10%,1.80%,1.35%,2.27%,1.99%,1.23%,-18.81%,2.50%,0.63,0.29,3.11%,2.97%,2.02%,5.81%,1.42%,-4.48%,18.84%,-21.20%,18.84%,61.87,0.89%,-0.67%,-,9.42K,1.68,9.02,0.22%,"15,831",Feb 01/b
